game_id,date,division,team,opponent,home_away,points_for,points_against,result,margin,total_yards,pass_yards,rush_yards,plays,yards_per_play,first_downs,third_down_conv,third_down_att,third_down_pct,fourth_down_conv,fourth_down_att,turnovers,fumbles_lost,interceptions_thrown,penalties,penalty_yards,possession_time,possession_seconds,completions,pass_attempts,sacks_allowed,sack_yards_lost,rush_attempts,yards_per_rush,epa_per_play,success_rate,explosiveness,line_yards,pulled_at
401754564,2025-10-17,FBS,Louisville Cardinals,Miami Hurricanes,away,24,21,W,3,367,248,119,68.0,5.4,21,5,14,35.7,1,1,1,1,0,6,64,31:16,1876,23,37,,,31,3.8,,,,,2026-07-27T14:09:18
401754564,2025-10-17,FBS,Miami Hurricanes,Louisville Cardinals,home,21,24,L,-3,334,271,63,59.0,5.66,15,5,12,41.7,1,2,4,0,4,9,67,28:44,1724,25,35,,,24,2.6,,,,,2026-07-27T14:09:18
401752872,2025-10-17,FBS,Nebraska Cornhuskers,Minnesota Golden Gophers,away,6,24,L,-18,213,177,36,54.0,3.94,13,3,11,27.3,0,1,0,0,0,6,65,28:01,1681,17,25,,,29,1.2,,,,,2026-07-27T14:09:18
401752872,2025-10-17,FBS,Minnesota Golden Gophers,Nebraska Cornhuskers,home,24,6,W,18,339,153,186,55.0,6.16,18,5,12,41.7,0,0,0,0,0,3,30,31:59,1919,16,20,,,35,5.3,,,,,2026-07-27T14:09:18
401760396,2025-10-17,FBS,San José State Spartans,Utah State Aggies,away,25,30,L,-5,534,340,194,77.0,6.94,23,9,17,52.9,1,4,1,1,0,8,65,30:13,1813,27,50,,,27,7.2,,,,,2026-07-27T14:09:19
401760396,2025-10-17,FBS,Utah State Aggies,San José State Spartans,home,30,25,W,5,461,331,130,70.0,6.59,19,5,16,31.2,2,3,0,0,0,6,65,29:47,1787,23,32,,,38,3.4,,,,,2026-07-27T14:09:19
401754371,2025-10-17,FBS,North Carolina Tar Heels,California Golden Bears,away,18,21,L,-3,287,167,120,64.0,4.48,18,5,14,35.7,2,2,3,3,0,4,46,31:10,1870,19,35,,,29,4.1,,,,,2026-07-27T14:09:20
401754371,2025-10-17,FBS,California Golden Bears,North Carolina Tar Heels,home,21,18,W,3,294,214,80,71.0,4.14,19,6,16,37.5,2,2,0,0,0,9,79,28:50,1730,22,40,,,31,2.6,,,,,2026-07-27T14:09:20
401754564,2025-10-17,FBS,Louisville Cardinals,Miami Hurricanes,away,24,21,W,3,367,248,119,68.0,5.4,21,5,14,35.7,1,1,1,1,0,6,64,31:16,1876,23,37,,,31,3.8,0.1052379075018247,0.4117647058823529,1.254913333328238,1.8833333333333333,2026-07-27T15:27:26
401754564,2025-10-17,FBS,Miami Hurricanes,Louisville Cardinals,home,21,24,L,-3,334,271,63,59.0,5.66,15,5,12,41.7,1,2,4,0,4,9,67,28:44,1724,25,35,,,24,2.6,0.14617578364132724,0.38596491228070173,1.2920718053683795,2.1652173913043478,2026-07-27T15:27:26
401752872,2025-10-17,FBS,Nebraska Cornhuskers,Minnesota Golden Gophers,away,6,24,L,-18,213,177,36,54.0,3.94,13,3,11,27.3,0,1,0,0,0,6,65,28:01,1681,17,25,,,29,1.2,-0.06394801193986671,0.3584905660377358,0.9478317051499127,3.59,2026-07-27T15:27:26
401752872,2025-10-17,FBS,Minnesota Golden Gophers,Nebraska Cornhuskers,home,24,6,W,18,339,153,186,55.0,6.16,18,5,12,41.7,0,0,0,0,0,3,30,31:59,1919,16,20,,,35,5.3,0.1860639066385367,0.4,1.2112158920340808,2.8205882352941174,2026-07-27T15:27:26
401760396,2025-10-17,FBS,San José State Spartans,Utah State Aggies,away,25,30,L,-5,534,340,194,77.0,6.94,23,9,17,52.9,1,4,1,1,0,8,65,30:13,1813,27,50,,,27,7.2,0.28421521088073565,0.46835443037974683,1.393086464085417,3.5344827586206895,2026-07-27T15:27:27
401760396,2025-10-17,FBS,Utah State Aggies,San José State Spartans,home,30,25,W,5,461,331,130,70.0,6.59,19,5,16,31.2,2,3,0,0,0,6,65,29:47,1787,23,32,,,38,3.4,0.19965543067476504,0.3918918918918919,1.6139576611140072,2.186111111111111,2026-07-27T15:27:27
401754371,2025-10-17,FBS,North Carolina Tar Heels,California Golden Bears,away,18,21,L,-3,287,167,120,64.0,4.48,18,5,14,35.7,2,2,3,3,0,4,46,31:10,1870,19,35,,,29,4.1,-0.008433647179571102,0.34375,1.1393525235010455,3.1933333333333334,2026-07-27T15:27:27
401754371,2025-10-17,FBS,California Golden Bears,North Carolina Tar Heels,home,21,18,W,3,294,214,80,71.0,4.14,19,6,16,37.5,2,2,0,0,0,9,79,28:50,1730,22,40,,,31,2.6,0.14276414465061418,0.38028169014084506,1.2195089609652343,2.6586206896551725,2026-07-27T15:27:27
